[2022/06/13 11:29:44.039 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/13 11:29:44.046 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/13 11:29:44.047 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7108762482654755923]
[2022/06/13 11:29:44.047 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"operationcount"="10000000"
"verbose"="false"
"requestdistribution"="uniform"
"tikv.conncount"="128"
"tikv.batchsize"="128"
"tikv.type"="raw"
"scanproportion"="0"
"tikv.pd"="10.10.1.4:2379"
"recordcount"="10000000"
"readallfields"="true"
"updateproportion"="0.5"
"workload"="core"
"dotransactions"="false"
"readproportion"="0.5"
"threadcount"="120"
"dropdata"="false"
"debug.pprof"=":6060"
"insertproportion"="0"
**********************************************
INSERT - Takes(s): 649.9, Count: 4533318, OPS: 6975.5, Avg(us): 17129, Min(us): 5238, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 108000
INSERT - Takes(s): 659.9, Count: 4604389, OPS: 6977.5, Avg(us): 17125, Min(us): 5238, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 106000
INSERT - Takes(s): 669.9, Count: 4670955, OPS: 6972.7, Avg(us): 17136, Min(us): 5238, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 105000
INSERT - Takes(s): 679.9, Count: 4736692, OPS: 6966.9, Avg(us): 17151, Min(us): 5238, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 104000
INSERT - Takes(s): 689.9, Count: 4799830, OPS: 6957.4, Avg(us): 17174, Min(us): 5238, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 110000
INSERT - Takes(s): 699.9, Count: 4865437, OPS: 6951.7, Avg(us): 17188, Min(us): 5238, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 110000
INSERT - Takes(s): 709.9, Count: 4932496, OPS: 6948.3, Avg(us): 17197, Min(us): 5238, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 719.9, Count: 4996291, OPS: 6940.4, Avg(us): 17216, Min(us): 5238, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 729.9, Count: 5069777, OPS: 6946.0, Avg(us): 17203, Min(us): 5238, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 739.9, Count: 5133599, OPS: 6938.4, Avg(us): 17221, Min(us): 5238, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 749.9, Count: 5198114, OPS: 6931.9, Avg(us): 17238, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 759.9, Count: 5259863, OPS: 6921.9, Avg(us): 17263, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 769.9, Count: 5322495, OPS: 6913.3, Avg(us): 17284, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 779.9, Count: 5387632, OPS: 6908.2, Avg(us): 17297, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 789.9, Count: 5450817, OPS: 6900.8, Avg(us): 17316, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 799.9, Count: 5517253, OPS: 6897.5, Avg(us): 17324, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 809.9, Count: 5587151, OPS: 6898.7, Avg(us): 17321, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 819.9, Count: 5652639, OPS: 6894.4, Avg(us): 17332, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 829.9, Count: 5714193, OPS: 6885.5, Avg(us): 17354, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 59000, 99.99th(us): 109000
INSERT - Takes(s): 839.9, Count: 5777244, OPS: 6878.6, Avg(us): 17372, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 59000, 99.99th(us): 109000
INSERT - Takes(s): 849.9, Count: 5840023, OPS: 6871.5, Avg(us): 17389, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 59000, 99.99th(us): 110000
INSERT - Takes(s): 859.9, Count: 5902629, OPS: 6864.4, Avg(us): 17408, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 59000, 99.99th(us): 110000
INSERT - Takes(s): 869.9, Count: 5969461, OPS: 6862.3, Avg(us): 17413, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 59000, 99.99th(us): 110000
INSERT - Takes(s): 879.9, Count: 6040587, OPS: 6865.2, Avg(us): 17406, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 59000, 99.99th(us): 110000
INSERT - Takes(s): 889.9, Count: 6105855, OPS: 6861.4, Avg(us): 17415, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 59000, 99.99th(us): 110000
INSERT - Takes(s): 899.9, Count: 6166912, OPS: 6853.0, Avg(us): 17437, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 110000
INSERT - Takes(s): 909.9, Count: 6234349, OPS: 6851.8, Avg(us): 17440, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 110000
INSERT - Takes(s): 919.9, Count: 6297770, OPS: 6846.2, Avg(us): 17454, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 110000
INSERT - Takes(s): 929.9, Count: 6371737, OPS: 6852.2, Avg(us): 17439, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 939.9, Count: 6452938, OPS: 6865.7, Avg(us): 17404, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 949.9, Count: 6518875, OPS: 6862.8, Avg(us): 17411, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 959.9, Count: 6581947, OPS: 6857.0, Avg(us): 17426, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 969.9, Count: 6644048, OPS: 6850.3, Avg(us): 17443, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 979.9, Count: 6708123, OPS: 6845.8, Avg(us): 17455, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 989.9, Count: 6781465, OPS: 6850.7, Avg(us): 17442, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 999.9, Count: 6859611, OPS: 6860.4, Avg(us): 17418, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 1009.9, Count: 6936622, OPS: 6868.7, Avg(us): 17396, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 59000, 99.99th(us): 109000
INSERT - Takes(s): 1019.9, Count: 7001303, OPS: 6864.8, Avg(us): 17406, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 59000, 99.99th(us): 109000
INSERT - Takes(s): 1029.9, Count: 7062596, OPS: 6857.6, Avg(us): 17425, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 110000
INSERT - Takes(s): 1039.9, Count: 7126349, OPS: 6853.0, Avg(us): 17436, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 110000
