[2022/06/13 13:15:29.374 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/13 13:15:29.381 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/13 13:15:29.381 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7108789600103155778]
[2022/06/13 13:15:29.382 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"operationcount"="10000000"
"tikv.batchsize"="128"
"updateproportion"="0.5"
"recordcount"="10000000"
"workload"="core"
"dotransactions"="false"
"tikv.pd"="10.10.1.4:2379"
"readproportion"="0.5"
"insertproportion"="0"
"verbose"="false"
"tikv.type"="raw"
"dropdata"="false"
"scanproportion"="0"
"tikv.conncount"="128"
"threadcount"="120"
"debug.pprof"=":6060"
"readallfields"="true"
"requestdistribution"="uniform"
**********************************************
INSERT - Takes(s): 909.9, Count: 6042836, OPS: 6641.1, Avg(us): 17995, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 59000, 99.99th(us): 100000
INSERT - Takes(s): 919.9, Count: 6107341, OPS: 6639.0, Avg(us): 18000, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 59000, 99.99th(us): 100000
INSERT - Takes(s): 929.9, Count: 6168297, OPS: 6633.2, Avg(us): 18016, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 100000
INSERT - Takes(s): 939.9, Count: 6232085, OPS: 6630.5, Avg(us): 18024, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 100000
INSERT - Takes(s): 949.9, Count: 6294265, OPS: 6626.1, Avg(us): 18036, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 100000
INSERT - Takes(s): 959.9, Count: 6358834, OPS: 6624.4, Avg(us): 18040, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 969.9, Count: 6433277, OPS: 6632.8, Avg(us): 18017, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 59000, 99.99th(us): 99000
INSERT - Takes(s): 979.9, Count: 6500892, OPS: 6634.1, Avg(us): 18014, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 989.9, Count: 6563783, OPS: 6630.6, Avg(us): 18023, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 59000, 99.99th(us): 99000
INSERT - Takes(s): 999.9, Count: 6626256, OPS: 6626.8, Avg(us): 18034, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 1009.9, Count: 6691626, OPS: 6625.9, Avg(us): 18036, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 1019.9, Count: 6753282, OPS: 6621.4, Avg(us): 18048, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 1029.9, Count: 6818577, OPS: 6620.5, Avg(us): 18051, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 99000
INSERT - Takes(s): 1039.9, Count: 6887310, OPS: 6622.9, Avg(us): 18044, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 100000
INSERT - Takes(s): 1049.9, Count: 6957048, OPS: 6626.3, Avg(us): 18035, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 100000
INSERT - Takes(s): 1059.9, Count: 7019723, OPS: 6622.9, Avg(us): 18044, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 100000
INSERT - Takes(s): 1069.9, Count: 7080941, OPS: 6618.2, Avg(us): 18057, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 100000
INSERT - Takes(s): 1079.9, Count: 7144532, OPS: 6615.8, Avg(us): 18064, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 100000
INSERT - Takes(s): 1089.9, Count: 7206388, OPS: 6611.9, Avg(us): 18074, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 100000
INSERT - Takes(s): 1099.9, Count: 7271546, OPS: 6611.0, Avg(us): 18077, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 100000
INSERT - Takes(s): 1109.9, Count: 7332451, OPS: 6606.3, Avg(us): 18090, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 102000
INSERT - Takes(s): 1119.9, Count: 7397150, OPS: 6605.1, Avg(us): 18093, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 102000
INSERT - Takes(s): 1129.9, Count: 7460827, OPS: 6603.0, Avg(us): 18099, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 102000
INSERT - Takes(s): 1139.9, Count: 7521896, OPS: 6598.6, Avg(us): 18111, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 102000
INSERT - Takes(s): 1149.9, Count: 7583107, OPS: 6594.5, Avg(us): 18122, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 101000
INSERT - Takes(s): 1159.9, Count: 7642687, OPS: 6589.0, Avg(us): 18137, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 101000
INSERT - Takes(s): 1169.9, Count: 7706051, OPS: 6586.8, Avg(us): 18143, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 101000
INSERT - Takes(s): 1179.9, Count: 7769588, OPS: 6584.9, Avg(us): 18149, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 101000
